Year,Region,NAME,Home Value <$50k (%),Home Value $50k-$90k (%),Home Value $100k-$149k (%),Home Value $150k-$199k (%),Home Value $200k-$299k (%),Home Value $300k-$499k (%),Home Value $500k+ (%),Median Home Value ($)(1000X),Median Housing Cost (monthly) ($),Income <$10k (%),"Income $10k-$24,999 (%)","Income $25k-$34,999 (%)","Income $35k-$49,999 (%)","Income $50k-$74,999 (%)","Income $75k-$99,999 (%)","Income $100k-$149,999 (%)",Income $150k+ (%),Median Income ($)(1000X),Median Real Estate Taxes ($),No 2nd or Equity Loan (%),2nd Mortgage or Equity Loan (%),Equity Loan Only (%),2nd Mortgage Only (%),Both 2nd & Equity Loan (%),Population,Net Population Change,Net Migration,Net Migration Change
2010,3,Alabama,9.1,23.6,20.3,17.8,16.8,8.7,3.7,142.7,1130.0,3.9,10.4,8.7,15.5,21.7,15.6,15.6,8.7,61.964,568.0,82.3,17.2,12.3,4.9,0.6,4785437,5312,2168,
2010,4,Alaska,2.0,2.9,9.6,15.6,35.2,26.5,8.1,255.7,1772.0,1.2,4.0,5.1,8.4,17.8,17.0,27.3,19.1,94.747,3177.0,84.4,14.9,10.4,4.5,0.7,713910,3661,1598,
2010,4,Arizona,4.0,13.4,20.5,19.5,21.4,14.4,6.8,177.0,1442.0,2.8,8.8,8.2,14.1,22.6,16.2,17.2,10.2,66.539,1489.0,77.4,21.8,16.0,5.8,0.8,6407172,14884,5672,
2010,3,Arkansas,12.0,27.0,23.9,16.2,12.2,6.4,2.1,122.6,987.0,2.8,10.9,10.6,16.8,22.8,15.1,14.1,7.1,59.393,703.0,89.3,10.5,6.4,4.1,0.2,2921964,5933,3270,
2010,4,California,1.5,3.4,6.0,8.6,17.4,29.1,34.0,377.7,2242.0,2.1,5.9,5.2,10.0,17.7,15.9,22.1,21.2,88.444,3284.0,72.2,26.3,18.6,7.6,1.6,37319502,64983,-721,
2010,4,Colorado,2.5,4.0,11.3,17.3,29.3,24.0,11.6,243.3,1590.0,2.4,6.6,6.4,11.8,20.1,17.5,20.8,14.3,78.267,1508.0,73.1,26.0,16.0,10.0,0.9,5047349,18030,8433,
2010,1,Connecticut,1.0,1.5,5.7,13.0,30.3,30.4,18.0,294.5,2068.0,1.6,4.0,4.3,8.5,17.7,17.4,23.7,22.8,94.298,4987.0,71.8,27.7,21.6,6.0,0.5,3579114,4967,2572,
2010,3,Delaware,3.1,2.6,7.4,17.7,33.8,28.0,7.4,249.0,1569.0,2.5,6.2,6.1,12.1,21.3,17.4,21.3,12.9,77.71600000000002,1302.0,76.5,22.5,17.7,4.9,1.0,899593,1656,638,
2010,3,District of Columbia,1.2,1.1,1.9,3.1,16.0,35.2,41.5,439.4,2297.0,3.7,4.4,3.8,7.0,13.5,12.0,19.2,36.5,112.294,2640.0,74.2,24.3,18.3,6.0,1.4,605226,3459,2169,
2010,3,Florida,4.4,15.7,19.5,19.5,20.9,13.5,6.5,172.1,1505.0,3.7,10.5,9.1,15.1,21.5,15.2,15.4,9.5,62.096,1979.0,76.4,22.6,17.1,5.5,1.0,18845537,40973,32460,
2010,3,Georgia,5.2,14.4,22.9,20.5,18.8,12.7,5.4,164.9,1390.0,3.1,9.1,8.3,13.2,22.2,15.3,17.1,11.8,67.42399999999999,1654.0,78.9,20.2,13.4,6.8,0.9,9711881,23152,7100,
2010,4,Hawaii,0.5,1.2,1.5,3.9,12.0,29.0,51.9,516.1,2240.0,1.8,4.9,4.4,9.0,19.4,16.9,26.0,17.6,88.85700000000001,1400.0,73.3,24.9,18.8,6.2,1.8,1363963,3656,1627,
2010,4,Idaho,4.2,10.3,23.9,23.0,22.2,11.7,4.7,171.0,1187.0,2.5,9.2,10.3,15.7,26.6,16.8,12.1,6.7,60.953,1280.0,78.1,21.3,14.9,6.4,0.6,1570746,3089,-264,
2010,2,Illinois,4.0,12.3,14.9,17.8,23.6,18.9,8.6,203.9,1655.0,1.9,6.5,6.6,12.0,21.1,17.7,19.9,14.3,77.134,4061.0,76.6,22.7,17.6,5.1,0.7,12840503,8931,-8461,
2010,2,Indiana,6.1,26.3,26.9,17.9,13.9,6.7,2.2,130.7,1090.0,2.1,8.7,9.2,15.8,24.3,17.4,15.3,7.1,63.3,1123.0,79.1,20.3,15.0,5.3,0.6,6490432,6381,-664,
2010,2,Iowa,7.3,24.9,26.2,16.8,15.9,6.7,2.1,133.3,1140.0,1.7,7.4,7.8,14.7,25.1,19.2,16.8,7.3,67.976,1769.0,80.0,19.2,13.5,5.7,0.8,3050745,3874,903,
